fire_cell_quad,fire,cell,quad,tree_pix,dead_tree_pix,tree_cover,mort_cover,tree_cat,dead_cat,eco2,tvt
czulight_646_0,czulight,646,0,13425,11343,0.81939697265625,0.8449,70-100,70-100,North Coast and Mountains,train
czulight_646_1,czulight,646,1,7526,5102,0.4593505859375,0.6779,30-70,30-70,North Coast and Mountains,train
czulight_646_3,czulight,646,3,7950,6129,0.4852294921875,0.7709,30-70,70-100,North Coast and Mountains,train
northcomplex_1064_0,northcomplex,1064,0,14565,14559,0.88897705078125,0.9996,70-100,70-100,Sierra Nevada,train
northcomplex_1064_1,northcomplex,1064,1,15197,15092,0.92755126953125,0.9931,70-100,70-100,Sierra Nevada,train
northcomplex_1064_3,northcomplex,1064,3,15687,15655,0.95745849609375,0.998,70-100,70-100,Sierra Nevada,train
northcomplex_1064_4,northcomplex,1064,4,15271,9335,0.93206787109375,0.6113,70-100,30-70,Sierra Nevada,train
northcomplex_4134_1,northcomplex,4134,1,12769,7645,0.77935791015625,0.5987,70-100,30-70,Sierra Nevada,train
northcomplex_4134_3,northcomplex,4134,3,14323,4301,0.87420654296875,0.3003,70-100,30-70,Sierra Nevada,train
alisal_81_0,alisal,81,0,14766,0,0.9012451171875,0.0,70-100,0-30,South Coast and Mountains,train
alisal_81_1,alisal,81,1,14769,0,0.90142822265625,0.0,70-100,0-30,South Coast and Mountains,train
alisal_81_3,alisal,81,3,12201,0,0.74468994140625,0.0,70-100,0-30,South Coast and Mountains,train
alisal_81_4,alisal,81,4,12041,0,0.73492431640625,0.0,70-100,0-30,South Coast and Mountains,train
eldorado_98_0,eldorado,98,0,569,0,0.03472900390625,0.0,0-30,0-30,South Coast and Mountains,train
eldorado_98_1,eldorado,98,1,779,0,0.04754638671875,0.0,0-30,0-30,South Coast and Mountains,train
eldorado_98_3,eldorado,98,3,7548,0,0.460693359375,0.0,30-70,0-30,South Coast and Mountains,train
eldorado_98_4,eldorado,98,4,2581,0,0.15753173828125,0.0,0-30,0-30,South Coast and Mountains,train
czulight_493_1,czulight,493,1,1733,1607,0.10577392578125,0.9273,0-30,70-100,North Coast and Mountains,train
czulight_493_3,czulight,493,3,2587,2587,0.15789794921875,1.0,0-30,70-100,North Coast and Mountains,train
czulight_493_4,czulight,493,4,323,323,0.01971435546875,1.0,0-30,70-100,North Coast and Mountains,train
eldorado_67_0,eldorado,67,0,1093,0,0.06671142578125,0.0,0-30,0-30,South Coast and Mountains,train
eldorado_67_3,eldorado,67,3,5562,881,0.3394775390625,0.1584,30-70,0-30,South Coast and Mountains,train
dolan_1086_1,dolan,1086,1,10895,3713,0.66497802734375,0.3408,30-70,30-70,Central Foothills,train
camp_1152_1,camp,1152,1,10765,9364,0.65704345703125,0.8699,30-70,70-100,Sierra Nevada,train
camp_1152_3,camp,1152,3,12411,4322,0.75750732421875,0.3482,70-100,30-70,Sierra Nevada,train
camp_1152_4,camp,1152,4,12937,12161,0.78961181640625,0.94,70-100,70-100,Sierra Nevada,train
ranch_1088_3,ranch,1088,3,5616,1757,0.3427734375,0.3129,30-70,30-70,Central Foothills,train
czulight_486_0,czulight,486,0,57,43,0.00347900390625,0.7544,0-30,70-100,North Coast and Mountains,train
czulight_486_1,czulight,486,1,7005,2250,0.42755126953125,0.3212,30-70,30-70,North Coast and Mountains,train
czulight_486_3,czulight,486,3,880,760,0.0537109375,0.8636,0-30,70-100,North Coast and Mountains,train
czulight_486_4,czulight,486,4,12262,4671,0.7484130859375,0.3809,70-100,30-70,North Coast and Mountains,train
monument_2690_0,monument,2690,0,15067,15067,0.91961669921875,1.0,70-100,70-100,North Coast and Mountains,train
monument_2690_3,monument,2690,3,14931,14931,0.91131591796875,1.0,70-100,70-100,North Coast and Mountains,train
monument_2690_4,monument,2690,4,15398,15322,0.9398193359375,0.9951,70-100,70-100,North Coast and Mountains,train
creek_3092_3,creek,3092,3,6821,5015,0.41632080078125,0.7352,30-70,70-100,Sierra Nevada,train
camp_1392_0,camp,1392,0,6026,5181,0.3677978515625,0.8598,30-70,70-100,Central Foothills,train
camp_1392_4,camp,1392,4,2617,2172,0.15972900390625,0.83,0-30,70-100,Central Foothills,train
northcomplex_1930_0,northcomplex,1930,0,11026,7131,0.6729736328125,0.6467,30-70,30-70,Sierra Nevada,train
northcomplex_1930_3,northcomplex,1930,3,10969,1838,0.66949462890625,0.1676,30-70,0-30,Sierra Nevada,train
northcomplex_1930_4,northcomplex,1930,4,10219,8411,0.62371826171875,0.8231,30-70,70-100,Sierra Nevada,train
dolan_893_1,dolan,893,1,7308,1311,0.446044921875,0.1794,30-70,0-30,Central Foothills,train
dolan_893_3,dolan,893,3,12110,404,0.7391357421875,0.0334,70-100,0-30,Central Foothills,train
camp_1594_0,camp,1594,0,11915,3830,0.72723388671875,0.3214,70-100,30-70,Sierra Nevada,train
camp_1594_1,camp,1594,1,12251,857,0.74774169921875,0.07,70-100,0-30,Sierra Nevada,train
camp_1594_3,camp,1594,3,14028,1514,0.856201171875,0.1079,70-100,0-30,Sierra Nevada,train
camp_1594_4,camp,1594,4,11753,377,0.71734619140625,0.0321,70-100,0-30,Sierra Nevada,train
ranch_2436_0,ranch,2436,0,6600,3209,0.40283203125,0.4862,30-70,30-70,North Coast and Mountains,train
ranch_2436_1,ranch,2436,1,6301,2817,0.38458251953125,0.4471,30-70,30-70,North Coast and Mountains,train
ranch_2436_3,ranch,2436,3,6203,4950,0.37860107421875,0.798,30-70,70-100,North Coast and Mountains,train
dolan_1697_0,dolan,1697,0,12438,0,0.7591552734375,0.0,70-100,0-30,Central Foothills,train
dolan_1697_1,dolan,1697,1,13046,18,0.7962646484375,0.0014,70-100,0-30,Central Foothills,train
dolan_1697_3,dolan,1697,3,11001,85,0.67144775390625,0.0077,30-70,0-30,Central Foothills,train
river_436_0,river,436,0,2621,0,0.15997314453125,0.0,0-30,0-30,Central Foothills,train
river_436_1,river,436,1,8681,0,0.52984619140625,0.0,30-70,0-30,Central Foothills,train
river_436_3,river,436,3,8653,0,0.52813720703125,0.0,30-70,0-30,Central Foothills,train
river_436_4,river,436,4,8794,421,0.5367431640625,0.0479,30-70,0-30,Central Foothills,train
bobcat_1294_1,bobcat,1294,1,6997,6787,0.42706298828125,0.97,30-70,70-100,South Coast and Mountains,train
bobcat_1294_3,bobcat,1294,3,7174,4265,0.4378662109375,0.5945,30-70,30-70,South Coast and Mountains,train
bobcat_1294_4,bobcat,1294,4,13566,2271,0.8280029296875,0.1674,70-100,0-30,South Coast and Mountains,train
alisal_153_0,alisal,153,0,7169,1291,0.43756103515625,0.1801,30-70,0-30,South Coast and Mountains,train
alisal_153_1,alisal,153,1,621,161,0.03790283203125,0.2593,0-30,0-30,South Coast and Mountains,train
caldor_3023_0,caldor,3023,0,5694,239,0.3475341796875,0.042,30-70,0-30,Sierra Nevada,train
caldor_3023_1,caldor,3023,1,10342,689,0.6312255859375,0.0666,30-70,0-30,Sierra Nevada,train
caldor_3023_3,caldor,3023,3,5740,230,0.350341796875,0.0401,30-70,0-30,Sierra Nevada,train
caldor_3023_4,caldor,3023,4,2829,382,0.17266845703125,0.135,0-30,0-30,Sierra Nevada,train
eldorado_70_1,eldorado,70,1,8363,0,0.51043701171875,0.0,30-70,0-30,South Coast and Mountains,train
eldorado_70_3,eldorado,70,3,5869,0,0.35821533203125,0.0,30-70,0-30,South Coast and Mountains,train
eldorado_70_4,eldorado,70,4,12148,0,0.741455078125,0.0,70-100,0-30,South Coast and Mountains,train
dixie_399_1,dixie,399,1,11085,1441,0.67657470703125,0.13,30-70,0-30,North Coast and Mountains,train
dixie_399_3,dixie,399,3,8397,843,0.51251220703125,0.1004,30-70,0-30,North Coast and Mountains,train
dixie_399_4,dixie,399,4,9744,2285,0.5947265625,0.2345,30-70,0-30,North Coast and Mountains,train
camp_1637_1,camp,1637,1,7841,5839,0.47857666015625,0.7447,30-70,70-100,Sierra Nevada,train
camp_1637_3,camp,1637,3,6446,603,0.3934326171875,0.0935,30-70,0-30,Sierra Nevada,train
